PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;413447.75;0.250;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO BACHILLER            ;256801.00;0.500;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1005791.00;1.000;5; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE A;2843311.00;1.000;13; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1332482.00;1.000;11; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;502573.50;0.500;10; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1918618.05;1.000;8; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;666851.00;1.000;6; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;167529.95;0.125;13; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1040440.00;1.000;11; ;ASISTENTE DE CONTROL DE TRANSMISIONES RADIOFÓNICAS                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;256242.95;0.156;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;629306.30;0.370;10; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1669278.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;921278.00;1.000;3; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;249090.70;0.251;4; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;73830.30;0.125;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1401424.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;361856.00;0.500;0; ;PROFESIONAL EN PROGRAMAS DEPORTIVOS Y RECREATIVOS DE SEDE                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1555103.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO;1581881.00;1.000;5; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;844760.95;1.000;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;1373003.00;1.000;6; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN METEOROLÓGICA                                                                                                                                                                                                           
PROFESOR EXBECARIO DOCTORADO           ;2690571.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;202586.10;0.250;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;764805.85;1.000;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;1316221.00;1.000;9; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESOR INSTRUCTOR                    ;2055261.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;408073.40;0.250;13; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1394535.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO EN CONTROL DE PAGOS                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL B;1117021.00;1.000;13; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;832269.00;1.000;4; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;977182.00;1.000;13; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ASISTENCIAL B;1117021.00;1.000;13; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL B;2148124.00;1.000;13; ;PROFESIONAL EN FORMULACIÓN DE PROYECTOS DE OPLAU                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;429420.15;0.500;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2456621.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;157750.80;0.250;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO EDUCACION SUPERIOR   ;278428.65;0.250;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2008731.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1834101.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;316323.25;0.250;11; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1493590.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;936845.50;0.500;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;156151.00;0.250;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;299346.15;0.375;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;999170.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;1506608.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO;317606.85;0.427;4; ;TÉCNICO COORDINADOR DE GRUPO ARTÍSTICO                                                                                                                                                                                                                          
PROFESOR EXBECARIO MAESTRIA            ;2223517.00;1.000;6; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;496315.45;0.375;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;690168.35;0.875;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;295321.20;0.500;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1527283.00;1.000;13; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL A;1730742.00;1.000;13; ;PROFESIONAL EN ANÁLISIS DE PRUEBAS PSICOLÓGICAS                                                                                                                                                                                                                 
TECNICO ASISTENCIAL B;1138298.00;1.000;13; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESIONAL A;1730742.00;1.000;13; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
TECNICO ASISTENCIAL B;969877.00;1.000;13; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL C;2089027.00;1.000;10; ;PROFESIONAL COORDINADOR EN ANÁLISIS DE BECAS Y BENEFICIOS COMPLEMENTARIOS                                                                                                                                                                                       
TECNICO ASISTENCIAL B;1117021.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2324909.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO A;954028.00;1.000;13; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO D;717457.00;1.000;4; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;1503996.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1092994.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO C;1080568.00;1.000;13; ;CHOFER                                                                                                                                                                                                                                                          
PROFESIONAL A;1730742.00;1.000;13; ;PROFESIONAL EN ENSAYOS BIOLÓGICOS                                                                                                                                                                                                                               
TECNICO ASISTENCIAL A;1072939.00;1.000;13; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1253870.00;1.000;13; ;TÉCNICO EN APOYO A EXPEDIENTES Y CERTIFICACIONES                                                                                                                                                                                                                
TRABAJADOR OPERATIVO C;1557928.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;221438.90;0.250;4;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO C;1341568.00;1.000;13; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
PROFESOR INSTRUCTOR                    ;427489.60;0.281;9; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;667939.00;0.500;11; ;TÉCNICO EN GRABACIÓN AUDIOVISUAL DE ARTES DRAMÁTICAS                                                                                                                                                                                                            
PROFESOR ASOCIADO                      ;564776.70;0.250;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;329156.00;0.250;8; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO B;1253870.00;1.000;13; ;TÉCNICO EN CONTROL DE EJECUCIÓN PRESUPUESTARIA                                                                                                                                                                                                                  
TECNICO ESPECIALIZADO C;1005252.00;1.000;8; ;TÉCNICO EN APOYO A LA DOCENCIA EN PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                        
TRABAJADOR OPERATIVO A;954028.00;1.000;13; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
TRABAJADOR OPERATIVO C;1394535.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;703409.00;1.000;10; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO B;995795.00;1.000;13; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL C;648840.00;0.500;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2248636.00;1.000;10; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1076814.00;1.000;8; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1117021.00;1.000;13; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO EN COBROS ESTUDIANTILES                                                                                                                                                                                                                                 
TECNICO ASISTENCIAL A;999170.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO B;977182.00;1.000;13; ;PENDIENTE                                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;1084952.50;1.000;13; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;1841644.00;1.000;13; ;PROFESIONAL EN REGISTRO E INFORMACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;776089.10;1.000;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO C;1341568.00;1.000;13; ;TÉCNICO EN ARCHIVÍSTICA                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;601064.00;0.500;15; ;ASISTENTE DE BIBLIOTECOLOGÍA                                                                                                                                                                                                                                    
PROFESIONAL A;865371.00;0.500;12; ;PROFESIONAL EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                             
TECNICO ESPECIALIZADO A;1183540.00;1.000;13; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
PROFESIONAL C;2969414.00;1.000;13; ;PROFESIONAL EN AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;963099.80;0.855;5; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;760872.35;0.766;5; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1730742.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1117021.00;1.000;13; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO EN EMERGENCIAS MÉDICAS                                                                                                                                                                                                                                  
PROFESOR INTERINO;1412015.00;1.000;13; ;PROFESIONAL EN CONSULTORÍA JURÍDICA                                                                                                                                                                                                                             
TECNICO ASISTENCIAL A;1034501.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;1476755.00;1.000;10; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1072939.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESIONAL A;1730742.00;1.000;13; ;PROFESIONAL EN GESTIÓN INTEGRAL DE PAGO                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;2682973.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;488591.00;0.500;13; ;AUXILIAR DE PROGRAMACIÓN DE CINE UNIVERSITARIO                                                                                                                                                                                                                  
PROFESIONAL B;2285345.00;1.000;17; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
TECNICO ESPECIALIZADO A;1273715.00;1.000;13; ;NULL
TECNICO ESPECIALIZADO D;1076814.00;1.000;8; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA GENÉTICA                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO EN REGISTROS CONTABLES                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1265958.00;1.000;13; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESIONAL A;2464332.00;1.000;13; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL C;2309010.00;1.000;12; ;PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;260867.10;0.500;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1543116.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ASISTENCIAL B;1095745.00;1.000;12; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO B;977182.00;1.000;12; ;AUXILIAR DE BIBLIOTECOLOGÍA                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO B;977182.00;1.000;13; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ASISTENCIAL A;1052884.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO B;1216294.00;1.000;13; ;NULL
TRABAJADOR OPERATIVO B;780526.00;1.000;12; ;MENSAJERO                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2051678.00;1.000;13; ;NULL
TECNICO ESPECIALIZADO A;1183540.00;1.000;13; ;TÉCNICO EN TRÁMITE DE SERVICIOS DE CORREO INSTITUCIONAL                                                                                                                                                                                                         
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR EXBECARIO DOCTORADO           ;2283587.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2371463.00;1.000;13; ;PROFESIONAL EN ENFERMERÍA                                                                                                                                                                                                                                       
TECNICO ESPECIALIZADO D;1428245.00;1.000;13; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE OFICINA                                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;1471236.00;1.000;13; ;TÉCNICO DE LABORATORIO EN PROCESAMIENTO DE PLASMA                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;130607.20;0.125;6; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;960280.50;0.750;9; ;PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;949063.30;0.855;5; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO C;1341568.00;1.000;13; ;TÉCNICO EN TRÁMITE DE BECAS AL EXTERIOR                                                                                                                                                                                                                         
TECNICO ASISTENCIAL A;526442.00;0.500;12; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;343068.70;0.250;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;977182.00;1.000;13; ;MENSAJERO                                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL A;1193269.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;1131886.00;1.000;7; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1730742.00;1.000;13; ;COORDINADOR DE SERVICIOS GENERALES DE SEDE                                                                                                                                                                                                                      
TECNICO ASISTENCIAL A;1113049.00;1.000;13; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL A;1700523.00;1.000;13; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;1997469.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1331875.00;1.000;10; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;946081.75;1.000;10; ;TÉCNICO EN DISEÑO GRÁFICO, WEB Y MULTIMEDIA                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;301227.60;0.500;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1394535.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1394535.00;1.000;13; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;1723817.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2204605.20;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;1284308.00;1.000;7; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESIONAL B;1771582.00;1.000;10; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;561555.35;0.270;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;949463.75;0.819;6; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO EDUCACION SUPERIOR    ;770029.50;0.500;12; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1166497.00;1.000;10; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;163452.50;0.250;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;687755.00;0.500;7; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO BACHILLER            ;693362.65;1.000;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;172312.15;0.250;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1216294.00;1.000;12; ;TÉCNICO EN APOYO A SERVICIOS ADMINISTRATIVOS Y ESTUDIANTILES                                                                                                                                                                                                    
TECNICO ESPECIALIZADO D;1428245.00;1.000;13; ;TÉCNICO EN PAGO DE BECAS AL EXTERIOR                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;832269.00;1.000;5; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;1359856.00;1.000;3; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;612791.55;1.000;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1748877.00;1.000;9; ;PROFESIONAL EN MICROBIOLOGÍA                                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;289951.90;1.032;5; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;609308.30;0.500;4; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;477779.00;0.500;2; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2245296.90;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;483847.30;0.524;3; ;PROFESIONAL EN ASESORÍA LEGAL DE VICERRECTORÍA DE VIDA ESTUDIANTIL                                                                                                                                                                                              
PROFESOR INTERINO;740074.70;0.855;2; ;PROFESIONAL EN PROGRAMAS ARTÍSTICOS                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;218620.90;0.250;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1231977.00;1.000;13; ;ASISTENTE EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                          
TECNICO ASISTENCIAL B;1166928.50;1.000;12; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESIONAL B;1431617.00;1.000;8; ;PROFESIONAL EN PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                                           
PROFESIONAL C;2223681.00;1.000;10; ;Profesional en Medicina General                                                                                                                                                                                                                                 
PROFESOR INVITADO II AÑO, EXBEC.MAESTR.;672325.00;0.500;2; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1649473.00;1.000;12; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESOR EXBECARIO MAESTRIA            ;757184.00;0.500;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;306395.80;0.500;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1471236.00;1.000;12; ;TÉCNICO EN CONTROL PRESUPUESTARIO DE PROYECTOS ESPECIALES                                                                                                                                                                                                       
TRABAJADOR OPERATIVO C;1394535.00;1.000;12; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;185155.45;0.125;12; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1170923.00;1.000;12; ;TÉCNICO DE LABORATORIO EN MICROBIOLOGÍA                                                                                                                                                                                                                         
PROFESOR ASOCIADO                      ;2409620.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;939849.90;1.000;4;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;367356.45;0.375;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;873309.75;0.573;4; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;832269.00;1.000;0; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1968294.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1448872.00;1.000;4; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1457716.00;1.000;13; ;TÉCNICO EN FONDOS DE VÍNCULOS EXTERNO DE CONARE                                                                                                                                                                                                                 
PROFESOR INTERINO LICENCIADO           ;1573189.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1117021.00;1.000;12; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;134948.70;0.125;4; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1012120.50;0.500;12; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1930487.00;1.000;13; ;PROFESIONAL EN REGISTRO E INFORMACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;792749.00;1.000;9; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO A;853583.00;1.000;11; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO A;1183540.00;1.000;12; ;TÉCNICO EN CARGAS ACADÉMICAS                                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;484955.35;0.625;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;735618.00;0.500;12; ;PENDIENTE........                                                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;322697.20;0.250;10; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;106244.20;0.125;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1052884.00;1.000;12; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INSTRUCTOR                    ;804892.00;0.500;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2056903.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1388736.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1471236.00;1.000;12; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
