position,salary,hours,years,respon,salq,years_cut,time
PROFESOR INTERINO LICENCIADO           ,173592.0,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,376034.2,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,1911670.0,Tiempo Completo,12,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO B,790276.0,Tiempo Completo,6,TÉCNICO EN APOYO A LA INVESTIGACIÓN EN SALUD                                                                                                                                                                                                                    ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR ASOCIADO                      ,2794491.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,1272459.0,Tiempo Completo,8,PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,670390.55,7/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,347184.0,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO B,1137554.0,Tiempo Completo,12,LABORES DE ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                          ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,199346.75,1/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,442981.9,3/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,1471236.0,Tiempo Completo,12,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,153197.85,1/4 de tiempo,4,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,2255647.0,Tiempo Completo,12,PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1287331.5,7/8 de tiempo,12,TÉCNICO EN ESTRUCTURAS DENTALES                                                                                                                                                                                                                                 ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,2242457.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,787816.0,1/2 tiempo,11,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,131158.35,1/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,341815.45,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1117021.0,Tiempo Completo,12,ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO A,954028.0,Tiempo Completo,12,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1471236.0,Tiempo Completo,12,TÉCNICO EN REGISTROS CONTABLES                                                                                                                                                                                                                                  ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,977182.0,Tiempo Completo,12,MENSAJERO                                                                                                                                                                                                                                                       ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO,1312407.25,Tiempo Completo,10,PROFESIONAL EN APOYO A LA INVESTIGACIÓN EN DESARROLLO COGNITIVO                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,2375832.0,Tiempo Completo,12,PROFESIONAL EN ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                          ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,1471236.0,Tiempo Completo,12,TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1061043.0,Tiempo Completo,12,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,1664622.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,1253870.0,Tiempo Completo,12,ASISTENTE EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                          ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL A,770294.0,Tiempo Completo,8,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,1012774.0,Tiempo Completo,12,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,977182.0,Tiempo Completo,12,CONSERJE                                                                                                                                                                                                                                                        ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO A,1147780.0,Tiempo Completo,12,TÉCNICO EN TRÁMITE DE SERVICIOS DE CORREO INSTITUCIONAL                                                                                                                                                                                                         ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,312912.3,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR ADJUNTO EDUCACION SUPERIOR    ,529789.8,1/2 tiempo,8,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO B,958569.0,Tiempo Completo,12,CONSERJE                                                                                                                                                                                                                                                        ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,1649473.0,Tiempo Completo,12,PROFESIONAL EN TRÁMITE DE PROYECTOS UNIVERSITARIOS                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1117021.0,Tiempo Completo,12,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1394535.0,Tiempo Completo,12,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO A,1191505.0,Tiempo Completo,12,EBANISTA                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO B,1317595.5,Tiempo Completo,12,TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1401040.0,Tiempo Completo,12,PENDIENTE...                                                                                                                                                                                                                                                    ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,481584.65,1/4 de tiempo,9,TÉCNICO EN PERIODISMO                                                                                                                                                                                                                                           ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,1032829.0,Tiempo Completo,12,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL A,834243.0,Tiempo Completo,10,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,1455449.0,Tiempo Completo,12,TÉCNICO EN ADQUISICIÓN DE BIENES Y SERVICIOS POR FONDOS DE TRABAJO                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL C,1579118.0,Tiempo Completo,7,PROFESIONAL EN INGENIERÍA MECÁNICA DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                  ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,902963.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,845578.0,Tiempo Completo,7,TÉCNICO DE LABORATORIO EN GRANOS Y SEMILLAS                                                                                                                                                                                                                     ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1749896.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,357216.5,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO,1609132.0,Tiempo Completo,12,FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO A,1133202.0,Tiempo Completo,14,EBANISTA                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL B,2096717.0,Tiempo Completo,12,PROFESIONAL EN DESARROLLO Y MANTENIMIENTO DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                         ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL A,640137.0,Tiempo Completo,9,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL C,2332674.5,Tiempo Completo,12,REGENTE BIOLÓGICO Y AMBIENTAL                                                                                                                                                                                                                                   ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,336666.4,1/2 tiempo,8,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,769105.0,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1227968.15,3/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO B,1193126.0,Tiempo Completo,12,ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE LA URAP                                                                                                                                                                                                               ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,556134.1,3/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,115538.25,1/4 de tiempo,2,ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1242548.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,208067.25,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,484206.5,1/2 tiempo,4,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,1477998.0,Tiempo Completo,6,PROFESIONAL EN APOYO AL PROGRAMA DE LIDERAZGO UNIVERSITARIO                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1115310.75,3/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1487429.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1076241.0,Tiempo Completo,12,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO A,1008544.0,Tiempo Completo,12,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1295391.0,Tiempo Completo,12,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR EXBECARIO DOCTORADO           ,2077778.0,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,2383703.0,Tiempo Completo,12,PROFESIONAL EN AUDITORÍA                                                                                                                                                                                                                                        ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1117021.0,Tiempo Completo,12,ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1002690.0,Tiempo Completo,12,MENSAJERO-CHOFER                                                                                                                                                                                                                                                ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,871739.65,3/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,432459.9,1/2 tiempo,4,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1095745.0,Tiempo Completo,12,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL C,1579118.0,Tiempo Completo,8,PROFESIONAL EN AUDITORÍA TÉCNICA                                                                                                                                                                                                                                ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,270267.05,3/8 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1100464.7,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,590642.5,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,681142.0,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(10.0, 20.0]",2020-08-01
"PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ",1693487.0,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,38299.45,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,1300310.5,Tiempo Completo,10,PROFESIONAL EN BIBLIOTECOLOGÍA DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                        ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,913699.0,Tiempo Completo,8,TÉCNICO EN COMPRA DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                                    ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,224846.85,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESIONAL C,1940198.0,Tiempo Completo,11,PROFESIONAL COORDINADOR DE DESARROLLO Y MANTENIMIENTO DE TIC                                                                                                                                                                                                    ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1379019.5,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,308331.1,3/8 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2152073.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1951184.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,723537.4,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR EXBECARIO DOCTORADO           ,2292721.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,984842.0,Tiempo Completo,12,AUXILIAR DE INSTALACIONES DEPORTIVAS                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,653810.15,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1002690.0,Tiempo Completo,12,AUXILIAR DE INSTALACIONES DEPORTIVAS                                                                                                                                                                                                                            ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1625223.2,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,881491.0,Tiempo Completo,8,TÉCNICO DE LABORATORIO EN INVESTIGACIONES AGRONÓMICAS                                                                                                                                                                                                           ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,832269.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR ASOCIADO                      ,2069508.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,1649473.0,Tiempo Completo,12,PROFESIONAL EN APOYO A LA PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                                ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR EXBECARIO MAESTRIA            ,2103288.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(-inf, 10.0]",2020-08-01
"PROFESOR INVITADO I AÑO, EXBEC.MAESTRIA",1121754.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,590642.5,Tiempo Completo,1,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1084443.0,3/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,996363.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,838105.35,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,832269.0,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,974435.8,3/4 de tiempo,2,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,310812.25,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1369773.0,Tiempo Completo,12,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,501345.0,1/2 tiempo,12,REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL                                                                                                                                                                                                                ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1044857.85,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO B,1193126.0,Tiempo Completo,12,TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,392361.75,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,39376.2,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,27048.75,1/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
"PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ",2478747.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL B,2499995.1,Tiempo Completo,12,PROFESIONAL EN ASESORÍA LEGAL DE ASUNTOS INTERNACIONALES                                                                                                                                                                                                        ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,501381.45,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESIONAL C,1466894.0,Tiempo Completo,6,PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    ,"(1294735.0, 1588235.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,248946.55,1/2 tiempo,1,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1061043.0,Tiempo Completo,12,ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1657952.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,966463.4,5/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL C,1853082.0,Tiempo Completo,10,PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,590642.5,Tiempo Completo,2,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR EXBECARIO DOCTORADO           ,2324879.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,202663.3,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,405136.7,1/2 tiempo,3,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,1677606.0,Tiempo Completo,8,PROFESIONAL GESTOR DE PROYECTOS DE INVESTIGACIÓN                                                                                                                                                                                                                ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1428866.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,301227.5,1/2 tiempo,2,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
