position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
TECNICO ESPECIALIZADO A,1228627.0,Tiempo Completo,15,ADMINISTRATIVO,1228.627,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESIONAL C,1154628.0,Tiempo Completo,4,ADMINISTRATIVO,1154.628,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1617408.0,Tiempo Completo,15,ADMINISTRATIVO,1617.408,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL A,1847794.0,Tiempo Completo,15,ADMINISTRATIVO,1847.794,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL C,2608988.0,Tiempo Completo,15,ADMINISTRATIVO,2608.988,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
JEFE B,3538923.0,Tiempo Completo,15,ADMINISTRATIVO,3538.923,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1827421.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,1827.421,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESIONAL C,2643404.0,Tiempo Completo,14,ADMINISTRATIVO,2643.404,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,626033.35,5/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,626.0333499999999,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR EDUCACION SUPERIOR,301471.5,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,301.4715,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL A,1092994.0,Tiempo Completo,15,ADMINISTRATIVO,1092.994,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,3115739.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,3115.739,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1763561.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1763.561,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL C,1624208.0,Tiempo Completo,9,ADMINISTRATIVO,1624.208,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,286595.8,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,286.5958,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,619420.0,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,619.42,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO,1787877.5,Tiempo Completo,13,ADMINISTRATIVO,1787.8775,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO B,1301637.0,Tiempo Completo,14,ADMINISTRATIVO,1301.637,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1003384.0,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,1003.384,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2453217.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,2453.217,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1526047.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,1526.047,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,734966.05,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,734.96605,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1007029.0,7/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,1007.029,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL B,1677606.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1677.606,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESIONAL A,1847794.0,Tiempo Completo,15,ADMINISTRATIVO,1847.794,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,643197.15,3/4 de tiempo,7,PUESTO NO ADMINISTRATIVO ,643.1971500000001,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL A,1574715.5,Tiempo Completo,15,ADMINISTRATIVO,1574.7155,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1514918.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,1514.918,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2237899.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,2237.899,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO B,1193126.0,Tiempo Completo,12,ADMINISTRATIVO,1193.126,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,1895675.75,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,1895.67575,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,39376.2,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,39.3762,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1477283.0,Tiempo Completo,14,ADMINISTRATIVO,1477.283,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,221.49089999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,104033.6,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,104.0336,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR EXBECARIO,2580268.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,2580.268,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESIONAL B,1524663.75,3/4 de tiempo,14,ADMINISTRATIVO,1524.66375,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO,1854341.0,Tiempo Completo,12,ADMINISTRATIVO,1854.341,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,2435881.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,2435.881,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,153567.05,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,153.56705,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL C,2965273.0,Tiempo Completo,15,ADMINISTRATIVO,2965.273,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,437170.45,1/2 tiempo,6,PUESTO NO ADMINISTRATIVO ,437.17045,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1236201.4,7/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,1236.2014,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1614491.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1614.491,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR VISITANTE,1302682.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,1302.682,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,752463.2,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,752.4631999999999,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,215869.75,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,215.86975,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,498620.4,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,498.6204,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR EXBECARIO,2434840.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,2434.84,"(2051801.0, 2802161.5]",0-10 Años,2020-08-01
PROFESIONAL B,1836214.0,Tiempo Completo,8,ADMINISTRATIVO,1836.214,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESIONAL B,2186765.0,Tiempo Completo,13,ADMINISTRATIVO,2186.765,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,105293.85,1/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,105.29385,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1804871.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,1804.871,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO C,828880.0,Tiempo Completo,8,ADMINISTRATIVO,828.88,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESIONAL A,1866587.0,Tiempo Completo,12,ADMINISTRATIVO,1866.587,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL B,2521862.0,Tiempo Completo,15,ADMINISTRATIVO,2521.862,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO B,1014408.0,Tiempo Completo,15,ADMINISTRATIVO,1014.408,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1092994.0,Tiempo Completo,15,ADMINISTRATIVO,1092.994,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,1960537.0,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,1960.537,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,342597.45,3/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,342.59745000000004,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESIONAL A,1813889.0,Tiempo Completo,13,ADMINISTRATIVO,1813.889,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,2533734.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,2533.734,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO B,507204.0,1/2 tiempo,15,ADMINISTRATIVO,507.204,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1038529.75,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1038.52975,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1095745.0,Tiempo Completo,13,ADMINISTRATIVO,1095.745,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,409368.4,1/4 de tiempo,14,PUESTO NO ADMINISTRATIVO ,409.3684,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,377081.4,1/2 tiempo,6,PUESTO NO ADMINISTRATIVO ,377.08140000000003,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESIONAL B,1940776.0,Tiempo Completo,13,ADMINISTRATIVO,1940.776,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1685824.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,1685.824,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1159575.0,Tiempo Completo,15,ADMINISTRATIVO,1159.575,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO B,1301637.0,Tiempo Completo,15,ADMINISTRATIVO,1301.637,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1210673.65,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1210.67365,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,659098.5,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,659.0985,"(553674.0, 810294.93]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1061099.0,Tiempo Completo,15,ADMINISTRATIVO,1061.099,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,390281.5,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,390.2815,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,734046.0,1/2 tiempo,13,PUESTO NO ADMINISTRATIVO ,734.046,"(553674.0, 810294.93]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1543116.0,Tiempo Completo,15,ADMINISTRATIVO,1543.116,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1159575.0,Tiempo Completo,15,ADMINISTRATIVO,1159.575,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1703884.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1703.884,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1051810.5,3/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,1051.8105,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESIONAL C,2506776.0,Tiempo Completo,13,ADMINISTRATIVO,2506.776,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1555103.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1555.103,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR INTERINO,1238527.5,3/4 de tiempo,15,ADMINISTRATIVO,1238.5275,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1159575.0,Tiempo Completo,15,ADMINISTRATIVO,1159.575,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,644939.6,3/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,644.9395999999999,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR VISITANTE,1387033.0,Tiempo Completo,5,PUESTO NO ADMINISTRATIVO ,1387.033,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR ASOCIADO                      ,2428606.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2428.606,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,767337.0,1/2 tiempo,15,PUESTO NO ADMINISTRATIVO ,767.337,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESIONAL B,2014711.0,Tiempo Completo,15,ADMINISTRATIVO,2014.711,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL B,2684184.0,Tiempo Completo,15,ADMINISTRATIVO,2684.184,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1092994.0,Tiempo Completo,15,ADMINISTRATIVO,1092.994,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,289077.85,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,289.07784999999996,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO B,1014408.0,Tiempo Completo,15,ADMINISTRATIVO,1014.408,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1691321.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1691.321,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR EXBECARIO,1916689.0,Tiempo Completo,8,PUESTO NO ADMINISTRATIVO ,1916.689,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,2331123.0,Tiempo Completo,12,PUESTO NO ADMINISTRATIVO ,2331.123,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1056794.5,Tiempo Completo,15,ADMINISTRATIVO,1056.7945,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO A,394871.0,Tiempo Completo,0,ADMINISTRATIVO,394.871,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,166703.35,1/8 de tiempo,12,PUESTO NO ADMINISTRATIVO ,166.70335,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,531929.25,5/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,531.92925,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR ADJUNTO                       ,1294072.15,3/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,1294.07215,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,2646933.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2646.933,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1731451.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,1731.451,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO D,1527283.0,Tiempo Completo,15,ADMINISTRATIVO,1527.283,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESIONAL C,372955.25,1/4 de tiempo,10,PUESTO NO ADMINISTRATIVO ,372.95525,"(334919.26, 553674.0]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1159575.0,Tiempo Completo,15,ADMINISTRATIVO,1159.575,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESIONAL A,2031003.0,Tiempo Completo,14,ADMINISTRATIVO,2031.003,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESIONAL B,1877260.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1877.26,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO D,1475906.0,Tiempo Completo,14,ADMINISTRATIVO,1475.906,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,375072.9,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,375.0729,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,423618.75,1/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,423.61875,"(334919.26, 553674.0]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1444063.0,Tiempo Completo,15,ADMINISTRATIVO,1444.063,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO A,1026716.0,Tiempo Completo,15,ADMINISTRATIVO,1026.716,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,193568.5,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,193.5685,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,214399.05,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,214.39905,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESIONAL C,3570967.45,Tiempo Completo,15,ADMINISTRATIVO,3570.96745,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESIONAL B,2392868.0,Tiempo Completo,15,ADMINISTRATIVO,2392.868,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESIONAL B,2402835.55,Tiempo Completo,15,ADMINISTRATIVO,2402.83555,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,1280192.5,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,1280.1925,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,593998.4,3/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,593.9984000000001,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL A,2064908.0,Tiempo Completo,15,ADMINISTRATIVO,2064.908,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESIONAL B,2146879.0,Tiempo Completo,15,ADMINISTRATIVO,2146.879,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1061099.0,Tiempo Completo,15,ADMINISTRATIVO,1061.099,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1678547.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,1678.547,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1080568.0,Tiempo Completo,15,ADMINISTRATIVO,1080.568,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESIONAL C,2447993.0,Tiempo Completo,15,ADMINISTRATIVO,2447.993,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESIONAL A,1962673.0,Tiempo Completo,15,ADMINISTRATIVO,1962.673,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,513734.75,3/8 de tiempo,13,PUESTO NO ADMINISTRATIVO ,513.73475,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESIONAL C,1545016.0,Tiempo Completo,7,ADMINISTRATIVO,1545.016,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1244681.0,Tiempo Completo,15,ADMINISTRATIVO,1244.681,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1159575.0,Tiempo Completo,15,ADMINISTRATIVO,1159.575,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO B,1014408.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1014.408,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO C,1418229.0,Tiempo Completo,15,ADMINISTRATIVO,1418.229,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1541351.0,Tiempo Completo,15,ADMINISTRATIVO,1541.351,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,771416.0,Tiempo Completo,12,ADMINISTRATIVO,771.416,"(553674.0, 810294.93]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1270463.0,Tiempo Completo,15,ADMINISTRATIVO,1270.463,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,869681.25,3/4 de tiempo,14,ADMINISTRATIVO,869.68125,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
PROFESIONAL A,1847794.0,Tiempo Completo,15,ADMINISTRATIVO,1847.794,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,303097.0,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,303.097,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TECNICO ESPECIALIZADO B,1423043.0,Tiempo Completo,15,ADMINISTRATIVO,1423.043,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1223404.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,1223.404,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR VISITANTE,2616528.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,2616.528,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1325841.0,3/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,1325.841,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,762702.5,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,762.7025,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,427368.75,3/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,427.36875,"(334919.26, 553674.0]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,626717.0,1/2 tiempo,15,ADMINISTRATIVO,626.717,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESIONAL B,2070883.0,Tiempo Completo,15,ADMINISTRATIVO,2070.883,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,155957.2,1/8 de tiempo,11,PUESTO NO ADMINISTRATIVO ,155.9572,"(6711.849, 161986.54]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,203629.7,1/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,203.6297,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,112226.2,1/8 de tiempo,4,PUESTO NO ADMINISTRATIVO ,112.22619999999999,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,168081.1,1/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,168.0811,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,127787.95,1/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,127.78795,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,564311.7,5/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,564.3117,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1427252.0,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,1427.252,"(1297715.32, 1592456.575]",0-10 Años,2020-08-01
PROFESOR VISITANTE,2049216.0,Tiempo Completo,11,PUESTO NO ADMINISTRATIVO ,2049.216,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO C,1392675.0,Tiempo Completo,14,ADMINISTRATIVO,1392.675,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1201551.0,Tiempo Completo,15,ADMINISTRATIVO,1201.551,"(1061071.0, 1297715.32]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,422774.25,1/4 de tiempo,16,PUESTO NO ADMINISTRATIVO ,422.77425,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1670180.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,1670.18,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,582266.55,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,582.26655,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,739914.25,7/8 de tiempo,3,PUESTO NO ADMINISTRATIVO ,739.91425,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR EXBECARIO,2238590.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,2238.59,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,312798.95,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,312.79895,"(161986.54, 334919.26]",0-10 Años,2020-08-01
